from,to,travel_time
ALM,ASD,29
ALM,HVS,26
ALM,SHL,32
ALM,AMF,33
AMF,HVS,24
AMF,UT,26
APN,GD,26
APN,LEDN,20
APN,WD,21
ASD,HLM,26
ASD,HVS,30
ASD,SHL,19
ASD,UT,42
ASD,ZD,17
DDR,RTD,26
DDR,UT,47
DT,GVC,20
DT,RTD,19
GD,WD,22
GD,ZTM,22
GVC,LEDN,24
GVC,ZTM,19
HLM,SHL,17
HLM,ZD,27
HVS,SHL,30
HVS,UT,23
LEDN,HLM,30
LEDN,SHL,19
RTD,GD,25
RTD,SPK,22
RTD,VLR,16
RTD,ZTM,24
SHL,UT,42
SHL,ZD,22
SPK,VLR,15
UT,WD,26
