from,to
ALM,ASD 
ALM,SHL 
ALM,

APN

AMF

ASD

DT

GVC

DDR

GD

HLM

HVS

LEDN

RTD

SHL

UT

WD

ZD

ZTM

SPK

VLR
